52,5,81,-5,52,0,29,-18,30,0,1
55,0,77,0,-24,0,21,-16,103,82,4
38,-1,79,-1,38,0,41,1,40,0,1
40,1,79,0,38,0,38,-12,40,2,1
55,-1,80,0,-2,3,25,-4,83,58,4
46,0,79,0,44,-19,34,3,35,2,1
49,-2,77,1,50,0,28,-14,28,0,1
51,0,88,0,50,-7,37,-10,39,2,1
37,0,78,0,16,6,41,4,63,22,1
37,0,77,0,8,-9,40,-17,69,30,1
37,0,106,0,20,-20,69,-9,85,16,1
49,0,89,7,46,-10,40,-9,42,2,1
55,-5,108,0,54,0,53,10,53,0,1
44,0,83,0,44,14,40,-17,39,0,1
53,-2,88,0,54,4,34,3,33,0,1
37,0,97,0,34,5,60,15,64,4,1
56,0,86,1,56,6,31,-7,30,0,1
39,-1,81,5,38,0,42,-19,43,0,1
82,0,86,0,-10,21,3,-18,96,92,5
43,-1,76,0,44,24,33,-10,32,0,1
38,1,75,0,38,22,37,-12,36,0,1
82,-4,86,-1,-4,-13,3,-19,91,88,5
41,2,83,0,38,-1,42,-6,44,2,1
47,-1,84,-1,46,0,37,-4,37,0,1
39,0,79,-1,38,0,39,-19,40,0,1
56,3,95,0,34,0,40,0,62,22,4
45,0,88,6,44,0,43,9,44,2,1
37,0,77,0,28,209,40,4,48,8,1
37,0,81,0,26,21,44,-1,55,10,1
82,0,85,0,-6,12,3,-19,93,90,5
51,2,86,-2,50,0,36,-1,37,2,1
44,2,76,0,44,3,31,-5,32,0,1
37,0,76,-1,34,-20,40,-3,43,2,1
49,0,82,0,50,17,33,1,33,0,1
37,0,83,-1,18,0,47,-18,65,18,1
37,0,79,0,20,-15,42,8,58,16,1
82,0,85,0,-10,-17,3,-19,95,92,5
49,2,84,0,50,10,35,-10,35,0,1
46,-2,82,-6,46,-10,36,-12,35,0,1
104,6,105,8,70,0,1,-20,35,34,5
47,0,88,4,46,0,41,6,41,0,1
37,0,98,0,28,-16,61,-6,70,8,1
53,0,79,0,54,18,26,-3,24,0,1
56,0,81,0,2,-6,25,-5,78,54,4
44,0,81,3,44,0,37,-8,37,0,1
43,-2,81,0,44,22,37,-7,37,0,1
81,0,84,1,-14,-14,4,-20,100,96,5
