52,81,52,0,-18,30,0,1
55,77,-24,0,-16,103,82,4
38,79,38,0,1,40,0,1
40,79,38,0,-12,40,2,1
55,80,-2,3,-4,83,58,4
46,79,44,-19,3,35,2,1
49,77,50,0,-14,28,0,1
51,88,50,-7,-10,39,2,1
37,78,16,6,4,63,22,1
37,77,8,-9,-17,69,30,1
37,106,20,-20,-9,85,16,1
49,89,46,-10,-9,42,2,1
55,108,54,0,10,53,0,1
44,83,44,14,-17,39,0,1
53,88,54,4,3,33,0,1
37,97,34,5,15,64,4,1
56,86,56,6,-7,30,0,1
39,81,38,0,-19,43,0,1
82,86,-10,21,-18,96,92,5
43,76,44,24,-10,32,0,1
38,75,38,22,-12,36,0,1
82,86,-4,-13,-19,91,88,5
41,83,38,-1,-6,44,2,1
47,84,46,0,-4,37,0,1
39,79,38,0,-19,40,0,1
56,95,34,0,0,62,22,4
45,88,44,0,9,44,2,1
37,77,28,209,4,48,8,1
37,81,26,21,-1,55,10,1
82,85,-6,12,-19,93,90,5
51,86,50,0,-1,37,2,1
44,76,44,3,-5,32,0,1
37,76,34,-20,-3,43,2,1
49,82,50,17,1,33,0,1
37,83,18,0,-18,65,18,1
37,79,20,-15,8,58,16,1
82,85,-10,-17,-19,95,92,5
49,84,50,10,-10,35,0,1
46,82,46,-10,-12,35,0,1
104,105,70,0,-20,35,34,5
47,88,46,0,6,41,0,1
37,98,28,-16,-6,70,8,1
53,79,54,18,-3,24,0,1
56,81,2,-6,-5,78,54,4
44,81,44,0,-8,37,0,1
43,81,44,22,-7,37,0,1
81,84,-14,-14,-20,100,96,5
55,77,-22,0,-8,101,78,4
37,79,10,-28,-3,69,26,1
55,96,38,-10,1,57,16,4
37,78,20,0,3,57,16,1
49,87,46,-11,-3,41,2,1
37,90,26,0,6,64,12,1
43,77,42,-21,-15,35,2,1
76,81,-40,0,-18,122,118,5
85,88,2,13,-20,86,82,5
45,90,44,-17,-16,46,2,1
45,81,44,0,2,37,0,1
80,84,-20,0,-18,105,100,5
43,81,42,-3,-19,39,2,1
57,97,56,0,1,40,0,1
46,82,46,0,-12,35,0,1
44,106,42,-27,15,64,2,1
37,90,28,3,-8,62,8,1
56,81,-2,-5,-3,83,58,4
53,80,52,-16,-2,28,2,1
55,77,-18,-5,-16,95,74,4
51,87,50,0,-17,38,2,1
51,83,52,3,0,31,0,1
56,91,-2,1,-13,93,58,4
37,81,26,-27,-6,55,10,1
37,80,18,0,-16,62,18,1
46,88,46,3,-13,41,0,1
57,81,56,0,-6,24,0,1
53,82,52,-16,-16,30,2,1
49,86,46,-27,3,40,2,1
55,77,-12,-7,-18,90,68,4
41,81,42,16,3,40,0,1
49,79,46,-17,-12,32,2,1
52,83,52,0,0,32,0,1
56,80,-2,-1,-8,83,58,4
41,82,42,2,-15,41,0,1
37,97,26,-5,23,71,12,1
51,88,50,-19,-5,39,2,1
37,75,34,15,-17,41,4,1
55,87,54,0,-13,33,0,1
43,81,42,-16,-12,39,2,1
46,90,46,0,-18,44,0,1
37,77,20,8,-16,57,16,1
53,82,54,13,-13,28,0,1
43,85,42,0,-10,44,2,1
55,95,36,6,-2,59,20,4
41,88,38,-5,4,49,2,1
53,108,52,-16,-7,56,2,1
49,88,46,-12,4,42,2,1
46,76,46,2,-13,29,0,1
55,81,54,-4,-8,27,2,1
37,80,12,-28,5,67,24,1
56,78,-22,0,-15,101,80,4
37,77,34,-2,-15,43,4,1
40,87,38,-2,-11,48,2,1
38,92,16,8,-4,77,22,1
45,82,46,19,-14,35,0,1
46,81,46,0,-4,34,0,1
52,79,52,0,-7,27,0,1
37,81,8,0,-12,73,28,1
43,77,42,-13,-3,36,2,1
41,93,42,8,-9,52,0,1
56,97,46,8,8,50,10,4
37,79,16,27,-18,64,22,1
56,96,50,-12,-5,47,6,4
55,77,-6,8,-10,85,64,4
47,86,46,0,-12,39,0,1
83,86,-4,0,-18,92,88,5
56,98,52,0,3,46,4,4
56,96,52,-1,-10,44,4,4
49,86,46,-18,-8,40,2,1
37,103,20,-15,1,82,16,1
41,79,42,5,-16,37,0,1
37,83,30,-13,12,52,6,1
37,93,12,-3,-2,80,24,1
41,81,38,-2,3,42,2,1
37,76,26,0,-1,50,10,1
55,98,50,-18,2,49,6,4
50,83,50,0,3,34,2,1
55,76,-12,6,-15,89,68,4
37,76,36,-3,-19,39,2,1
57,85,56,0,-6,28,0,1
46,81,46,-6,-15,34,0,1
38,77,38,4,-17,38,0,1
44,86,44,1,5,42,0,1
41,81,38,-2,-19,43,2,1
50,86,50,0,-4,37,0,1
55,96,42,3,2,55,14,4
45,83,44,22,7,39,0,1
44,88,44,10,0,44,0,1
54,86,54,0,-16,32,0,1
55,77,16,-29,-13,62,40,4
37,77,34,-1,-11,43,2,1
45,89,44,-9,-5,45,2,1
85,88,-2,-4,-19,91,88,5
55,78,8,9,-17,70,48,4
49,83,50,14,-19,33,0,1
37,77,28,408,-14,48,8,1
42,77,42,-2,-18,36,0,1
37,95,26,-6,-7,70,12,1
46,81,44,-15,3,37,2,1
40,86,38,0,10,47,2,1
80,84,-36,-5,-20,120,116,5
50,79,50,0,0,30,0,1
41,87,38,-12,-4,48,2,1
51,89,52,0,-4,37,0,1
37,105,30,7,-4,74,6,1
40,81,38,0,-15,42,2,1
37,83,12,12,7,70,24,1
38,93,30,-5,-13,62,8,1
